Date,Open,High,Low,Close,Adj Close,Volume
2022-02-23,23.802000,24.155001,22.301001,22.386999,22.353281,566511000
2022-02-24,21.014999,23.799999,20.889999,23.747999,23.712229,735801000
2022-02-25,23.721001,24.216999,23.381001,24.157000,24.120611,528866000
2022-02-28,23.992001,24.665001,23.707001,24.385000,24.348272,477319000
2022-03-01,24.291000,24.377001,23.132000,23.476999,23.441641,412056000
2022-03-02,23.756001,24.409000,23.415001,24.219999,24.187641,389642000
2022-03-03,24.261999,24.326000,23.469000,23.714001,23.682316,365095000
2022-03-04,23.384001,23.680000,22.482000,22.936001,22.905357,431415000
2022-03-07,22.816999,23.033001,21.330000,21.351999,21.323471,450821000
2022-03-08,21.309000,22.372999,20.650000,21.514000,21.485254,557467000
2022-03-09,22.386999,23.219999,22.247000,23.014000,22.983252,492742000
2022-03-10,22.531000,22.788000,21.882000,22.658001,22.627729,428066000
2022-03-11,23.021999,23.145000,22.046000,22.100000,22.070473,367209000
2022-03-14,21.868999,22.261999,21.159000,21.330000,21.301502,385354000
2022-03-15,21.518000,23.038000,21.322001,22.973000,22.942305,491996000
2022-03-16,23.500000,24.597000,23.172001,24.496000,24.463272,671422000
2022-03-17,24.120001,24.841999,23.906000,24.766001,24.732910,471941000
2022-03-18,24.799000,26.569000,24.624001,26.452999,26.417660,730719000
2022-03-21,26.507000,27.152000,25.966999,26.733999,26.698284,591727000
2022-03-22,26.726999,27.238001,26.072001,26.524000,26.488564,547007000
2022-03-23,26.125999,26.612000,25.575001,25.634001,25.599749,502120000
2022-03-24,26.166000,28.320000,25.907000,28.150000,28.112392,877379000
2022-03-25,27.886000,28.358000,27.271000,27.691999,27.655003,579016000
2022-03-28,27.756001,28.250000,27.205999,28.219000,28.181299,425494000
2022-03-29,28.695000,28.945999,27.980000,28.656000,28.617716,488984000
2022-03-30,28.304001,28.496000,27.503000,27.690001,27.653008,463487000
2022-03-31,27.782000,28.247999,27.270000,27.285999,27.249542,523440000
2022-04-01,27.375000,27.496000,26.267000,26.712000,26.676313,517235000
2022-04-04,26.728001,27.558001,26.613001,27.360001,27.323448,397120000
2022-04-05,27.254000,27.319000,25.820000,25.931000,25.896357,436615000
2022-04-06,24.934000,25.299999,24.003000,24.407000,24.374390,703833000
2022-04-07,24.441000,24.722000,23.478001,24.208000,24.175657,557992000
2022-04-08,23.917000,23.923000,23.062000,23.118999,23.088114,524781000
2022-04-11,22.214001,22.320000,21.660000,21.917000,21.887720,575207000
2022-04-12,22.537001,22.725000,21.282000,21.504000,21.475269,662258000
2022-04-13,21.728001,22.500000,21.455000,22.202999,22.173330,516943000
2022-04-14,22.504999,22.777000,21.163000,21.257999,21.229597,569097000
2022-04-18,21.200001,22.087999,21.079000,21.783001,21.753901,525701000
2022-04-19,21.719999,22.372999,21.313999,22.198000,22.168346,512781000
2022-04-20,22.517000,22.670000,21.200001,21.482000,21.453299,468974000
2022-04-21,21.709000,22.392000,20.000000,20.183001,20.156033,656209000
2022-04-22,20.302999,20.486000,19.500000,19.514999,19.488922,624713000
2022-04-25,19.202000,19.945000,19.096001,19.902000,19.875412,641566000
2022-04-26,19.718000,19.788000,18.670000,18.788000,18.762897,653143000
2022-04-27,18.598000,19.167000,18.290001,18.415001,18.390398,499460000
2022-04-28,18.966999,20.037001,18.490000,19.782000,19.755573,570327000
2022-04-29,19.402000,20.128000,18.517000,18.547001,18.522223,500435000
2022-05-02,18.541000,19.573999,18.391001,19.533001,19.506901,572049000
2022-05-03,19.400000,19.825001,19.132999,19.601999,19.575809,475751000
2022-05-04,19.923000,20.400000,18.750999,20.334000,20.306833,648855000
2022-05-05,19.867001,19.924999,18.500000,18.844000,18.818823,626331000
2022-05-06,18.736000,19.511999,17.990000,18.674999,18.650047,633297000
2022-05-09,18.034000,18.254999,16.827000,16.950001,16.927357,644455000
2022-05-10,17.688999,18.198000,17.025000,17.594999,17.571491,761474000
2022-05-11,17.347000,17.753000,16.568001,16.629999,16.607777,670167000
2022-05-12,16.219000,16.788000,15.567000,16.174999,16.153389,708728000
2022-05-13,16.788000,17.927999,16.593000,17.705999,17.682343,670437000
2022-05-16,17.509001,17.788000,17.106001,17.264000,17.240934,521446000
2022-05-17,18.073999,18.371000,17.634001,18.177000,18.152716,585830000
